id,type,geometry,name,stationIdentifier,forecast,fireWeatherZone
https://api.weather.gov/stations/DS001,Feature,"{""type"": ""Point"", ""coordinates"": [-114.1375, 34.2795599991216]}",Dataset Location 1,DS001,https://api.weather.gov/zones/forecast/DS001,https://api.weather.gov/zones/fire/DS001
https://api.weather.gov/stations/DS002,Feature,"{""type"": ""Point"", ""coordinates"": [-83.63727875268201, 40.72633506264349]}",Dataset Location 2,DS002,https://api.weather.gov/zones/forecast/DS002,https://api.weather.gov/zones/fire/DS002
https://api.weather.gov/stations/DS003,Feature,"{""type"": ""Point"", ""coordinates"": [-120.0966, 39.5103799990738]}",Dataset Location 3,DS003,https://api.weather.gov/zones/forecast/DS003,https://api.weather.gov/zones/fire/DS003
https://api.weather.gov/stations/DS004,Feature,"{""type"": ""Point"", ""coordinates"": [-100.955, 45.7613999990572]}",Dataset Location 4,DS004,https://api.weather.gov/zones/forecast/DS004,https://api.weather.gov/zones/fire/DS004
https://api.weather.gov/stations/DS005,Feature,"{""type"": ""Point"", ""coordinates"": [-92.1792, 36.2107999991004]}",Dataset Location 5,DS005,https://api.weather.gov/zones/forecast/DS005,https://api.weather.gov/zones/fire/DS005
https://api.weather.gov/stations/DS006,Feature,"{""type"": ""Point"", ""coordinates"": [-112.4636, 45.8264499990573]}",Dataset Location 6,DS006,https://api.weather.gov/zones/forecast/DS006,https://api.weather.gov/zones/fire/DS006
https://api.weather.gov/stations/DS007,Feature,"{""type"": ""Point"", ""coordinates"": [-75.0355802877219, 42.36760583769016]}",Dataset Location 7,DS007,https://api.weather.gov/zones/forecast/DS007,https://api.weather.gov/zones/fire/DS007
https://api.weather.gov/stations/DS008,Feature,"{""type"": ""Point"", ""coordinates"": [-118.11104, 33.9915799991251]}",Dataset Location 8,DS008,https://api.weather.gov/zones/forecast/DS008,https://api.weather.gov/zones/fire/DS008
https://api.weather.gov/stations/DS009,Feature,"{""type"": ""Point"", ""coordinates"": [-90.80571129588049, 29.454469213709167]}",Dataset Location 9,DS009,https://api.weather.gov/zones/forecast/DS009,https://api.weather.gov/zones/fire/DS009
https://api.weather.gov/stations/DS010,Feature,"{""type"": ""Point"", ""coordinates"": [-104.2511, 37.0336099990926]}",Dataset Location 10,DS010,https://api.weather.gov/zones/forecast/DS010,https://api.weather.gov/zones/fire/DS010
https://api.weather.gov/stations/DS011,Feature,"{""type"": ""Point"", ""coordinates"": [-81.968, 29.5721999991896]}",Dataset Location 11,DS011,https://api.weather.gov/zones/forecast/DS011,https://api.weather.gov/zones/fire/DS011
https://api.weather.gov/stations/DS012,Feature,"{""type"": ""Point"", ""coordinates"": [-89.6535152953158, 40.7080543645077]}",Dataset Location 12,DS012,https://api.weather.gov/zones/forecast/DS012,https://api.weather.gov/zones/fire/DS012
https://api.weather.gov/stations/DS013,Feature,"{""type"": ""Point"", ""coordinates"": [-121.5755, 48.2102899990629]}",Dataset Location 13,DS013,https://api.weather.gov/zones/forecast/DS013,https://api.weather.gov/zones/fire/DS013
https://api.weather.gov/stations/DS014,Feature,"{""type"": ""Point"", ""coordinates"": [-91.99502653, 46.9796557290592]}",Dataset Location 14,DS014,https://api.weather.gov/zones/forecast/DS014,https://api.weather.gov/zones/fire/DS014
https://api.weather.gov/stations/DS015,Feature,"{""type"": ""Point"", ""coordinates"": [-108.654301, 42.8088189990594]}",Dataset Location 15,DS015,https://api.weather.gov/zones/forecast/DS015,https://api.weather.gov/zones/fire/DS015
https://api.weather.gov/stations/DS016,Feature,"{""type"": ""Point"", ""coordinates"": [-98.1868699999999, 34.7313299991163]}",Dataset Location 16,DS016,https://api.weather.gov/zones/forecast/DS016,https://api.weather.gov/zones/fire/DS016
https://api.weather.gov/stations/DS017,Feature,"{""type"": ""Point"", ""coordinates"": [-117.5122, 48.0188199990622]}",Dataset Location 17,DS017,https://api.weather.gov/zones/forecast/DS017,https://api.weather.gov/zones/fire/DS017
https://api.weather.gov/stations/DS018,Feature,"{""type"": ""Point"", ""coordinates"": [-89.103, 31.1880999991637]}",Dataset Location 18,DS018,https://api.weather.gov/zones/forecast/DS018,https://api.weather.gov/zones/fire/DS018
https://api.weather.gov/stations/DS019,Feature,"{""type"": ""Point"", ""coordinates"": [-121.835766, 37.1908829990912]}",Dataset Location 19,DS019,https://api.weather.gov/zones/forecast/DS019,https://api.weather.gov/zones/fire/DS019
https://api.weather.gov/stations/DS020,Feature,"{""type"": ""Point"", ""coordinates"": [-111.622, 40.2482999990695]}",Dataset Location 20,DS020,https://api.weather.gov/zones/forecast/DS020,https://api.weather.gov/zones/fire/DS020
https://api.weather.gov/stations/DS021,Feature,"{""type"": ""Point"", ""coordinates"": [-122.9521167, 42.5572499990601]}",Dataset Location 21,DS021,https://api.weather.gov/zones/forecast/DS021,https://api.weather.gov/zones/fire/DS021
